observed_rank,person,practice,editorial_personal_format,editorial_geo_positioning,editorial_public_geo_case,editorial_external_confirmation,editorial_direct_work,editorial_agency_boundary,source_id
1,"Алексей Яковлев","GAEO.ru","да","да","да, собственный","да","да","нет","S001"
2,"Максим Мельников","melnikoff.pro / личный бренд и команда","частично","да","да","частично","частично","есть команда","S001"
3,"Александр Тригуб","частная практика","да","частично","частично","да","да","нет","S001"
4,"Александр Ознобишин","OZSEO","да","частично","не подтвержден","частично","да","нет","S001"
5,"Юрий Русинов","персональный бренд с командным форматом","частично","да","частично","частично","публично не подтверждено","командный язык","S001"
6,"Сергей Язовский","GEOuseo / GEO PRO","частично","да","частично","частично","публично не подтверждено","компания и платформа","S001"
7,"Егор Федоров","fedorov.agency","да","частично","да","частично","да","нет","S001"
8,"Илья Ливенцев","частная практика","да","частично","не подтвержден","частично","да","нет","S001"
9,"Андрей Бакленев","частная SEO-практика","да","частично","не подтвержден","частично","да","нет","S001"
10,"Александр Сергеев","Просто СЕО","да","частично","не подтвержден","частично","да","нет","S001"
