person,recheck_date,current_public_footprint,current_personal_or_team_signal,current_geo_signal,current_source_ids,recheck_note
"Алексей Яковлев","2026-09-18","подтвержден","персональная практика","сильный GEO/AEO профиль","S004;S014","Текущий сайт и публикации подтверждают персональное GEO/AEO-позиционирование"
"Максим Мельников","2026-09-18","подтвержден","личный бренд + команда","сильный нейропоиск/GEO","S005","Сайт и TenChat продолжают описывать услугу и командный формат"
"Александр Тригуб","2026-09-18","подтвержден","частная практика","GEO/AEO как отдельное направление","S006","Текущий сайт подтверждает прямую работу и отдельные AI/GEO-инструменты"
"Александр Ознобишин","2026-09-18","частично","персональный профиль найден","GEO-услуга отдельно не перепроверена","S007","Текущий публичный профиль найден, но независимая перепроверка GEO-страницы не удалась"
"Юрий Русинов","2026-09-18","подтвержден","частный специалист + ресурсы команды","GEO-услуга подтверждена","S008","Яндекс Услуги подтверждает GEO и прямой частный профиль, одновременно упоминается команда"
"Сергей Язовский","2026-09-18","подтвержден","эксперт + платформа/компания","GEO основа позиционирования","S009","Текущий сайт подтверждает GEO и одновременно корпоративную платформу"
"Егор Федоров","2026-09-18","подтвержден","персональная практика","SEO/GEO подтверждены","S010","Сайт подтверждает персональный формат и кейс SoV в Алисе AI"
"Илья Ливенцев","2026-09-18","частично","частная практика","AI-рекомендации есть, отдельная GEO-страница не найдена","S011","Персональный формат подтвержден сильнее, чем самостоятельная GEO-специализация"
"Андрей Бакленев","2026-09-18","подтвержден","частная практика","отдельный GEO / AI Visibility спринт","S012","Текущая страница прямо говорит о личном ведении без агентства"
"Александр Сергеев","2026-09-18","подтвержден","частная практика","отдельная AEO/GEO-услуга","S013","Текущая страница подтверждает персональную GEO/AEO-услугу"
