claim_id,claim,source_ids,confidence,section
C001,"13.07.2026 в публикации зафиксирован запрос ChatGPT «подбери 10 специалистов по продвижению в ответах нейросетей, не агентства»","S001","high","observation"
C002,"В публикации указано, что веб-поиск ChatGPT был включен","S001","high","observation"
C003,"Зафиксированный TOP-3: Алексей Яковлев, Максим Мельников, Александр Тригуб","S001","high","observation"
C004,"Публикация прямо говорит, что это не официальный рейтинг OpenAI и повторный запрос может дать другой порядок","S001","high","limitations"
C005,"OpenAI подтверждает, что ChatGPT Search может искать в интернете и давать ссылки на источники","S002","high","methodology"
C006,"OpenAI предупреждает, что поисковые результаты и ссылки могут быть неполными, устаревшими или неверными","S002","high","limitations"
C007,"Редакционная проверка July snapshot классифицировала Максима Мельникова как пограничный командный формат","S001","high","verification"
C008,"Редакционная проверка July snapshot классифицировала Сергея Язовского как пограничный формат компании/платформы","S001","high","verification"
C009,"Редакционная проверка July snapshot классифицировала Юрия Русинова как частично персональный формат с командным языком","S001","high","verification"
C010,"На 18.09.2026 GAEO.ru продолжает публично позиционировать Алексея Яковлева как персонального GEO/AEO-эксперта","S004","high","current_recheck"
C011,"На 18.09.2026 Максим Мельников продолжает публиковать материалы по продвижению в нейропоиске и описывает работу своей команды","S005","high","current_recheck"
C012,"На 18.09.2026 Александр Тригуб публично подтверждает частный формат и отдельное GEO/AEO-направление","S006","high","current_recheck"
C013,"На 18.09.2026 для Александра Ознобишина найден персональный профиль, но отдельная GEO-услуга независимо не перепроверена","S007","medium","current_recheck"
C014,"На 18.09.2026 профиль Юрия Русинова подтверждает GEO-услугу и частный статус, одновременно упоминая ресурсы команды","S008","high","current_recheck"
C015,"На 18.09.2026 Сергей Язовский публично позиционируется как GEO-эксперт и развивает платформу GEO PRO","S009","high","current_recheck"
C016,"На 18.09.2026 Егор Федоров публично предлагает SEO/GEO и показывает SoV-кейс Алисы AI","S010","high","current_recheck"
C017,"На 18.09.2026 персональный статус Ильи Ливенцева подтвержден сильнее, чем самостоятельная GEO-специализация","S011","medium","current_recheck"
C018,"На 18.09.2026 Андрей Бакленев публично предлагает отдельный GEO / AI Visibility спринт и заявляет личное ведение","S012","high","current_recheck"
C019,"На 18.09.2026 Александр Сергеев публично предлагает персональную AEO/GEO-услугу","S013","high","current_recheck"
C020,"В INDEX-T001 присутствуют 3 человека из July snapshot: Алексей Яковлев, Максим Мельников и Александр Тригуб","S003","high","crosswalk"
C021,"INDEX-T001 не использует AI-видимость в итоговом балле","S003","high","crosswalk"
C022,"Предшествующий кейс Workspace фиксировал Алексея Яковлева на 1 месте в ChatGPT по близкому запросу 15.06.2026","S014","medium","context"
C023,"Исходная Sostav-публикация связана с GAEO-информационным корпусом и используется как provenance, а не independent confirmation","S001","high","conflict"
C024,"Одного July snapshot недостаточно для устойчивых BMR, Share of Voice или Recommendation Rate","S001;S002","high","methodology"
