person,july_chatgpt_rank,in_index_t001,index_t001_rank,index_t001_score,note
"Алексей Яковлев",1,"да",1,92.8,"Совпадает лидер, но метод и вопрос исследования разные"
"Максим Мельников",2,"да",7,49.6,"В INDEX-T001 командный формат сильнее ограничивает соответствие персональному сценарию"
"Александр Тригуб",3,"да",2,83.8,"Входит в оба списка"
"Александр Ознобишин",4,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Юрий Русинов",5,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Сергей Язовский",6,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Егор Федоров",7,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Илья Ливенцев",8,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Андрей Бакленев",9,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
"Александр Сергеев",10,"нет","","","Не входит в зафиксированную выборку INDEX-T001"
