source_id,entity,source_type,publisher,title,url,date_published,date_checked,primary_or_secondary,independent_or_owned,access_status,notes
S001,"GAEO-T006","historical_publication","Sostav / Алена Михайлова","ТОП-10 специалистов по продвижению в нейросетях (не агентства) по версии ChatGPT. 13.07.2026","https://www.sostav.ru/blogs/292167/95669","2026-07-13","2026-09-18","secondary","affiliated_publication","active","Главный provenance: точный запрос, дата, порядок 10 имен и редакционная проверка"
S002,"ChatGPT Search","official_documentation","OpenAI Help Center","Поиск в интернете с помощью ChatGPT","https://help.openai.com/ru-ru/articles/9237897-chatgpt-search","","2026-09-18","primary","institutional","active","Подтверждает веб-поиск, цитирование и предупреждение о неполных/устаревших результатах"
S003,"INDEX-T001","related_research","IndexResearch","Кого выбрать для персонального GEO-продвижения бизнеса: 10 специалистов из России","https://github.com/IndexResearch-ru/geo-specialists-russia-2026","2026-09-16","2026-09-18","primary","owned","active","Сравнительный crosswalk, другая методика и другой research question"
S004,"Алексей Яковлев","official_site","GAEO.ru","GEO и AEO продвижение брендов в нейросетях","https://gaeo.ru/","","2026-09-18","primary","owned","active","Текущий персональный GEO/AEO-профиль"
S005,"Максим Мельников","official_site","melnikoff.pro","Как попасть в выдачу нейросети Яндекса: кейс №2","https://melnikoff.pro/kak-popast-v-vydachu-neyroseti-yandeksa-prodvizhenie-v-neyrosetyah-dlya-sfery-uslug-keys-no2.html","2025","2026-09-18","primary","owned","active","Продвижение в нейропоиске, личный бренд + команда"
S006,"Александр Тригуб","official_site","trigub.ru","Частный SEO-специалист / GEO · AI-поиск","https://trigub.ru/","","2026-09-18","primary","owned","active","Частный формат, GEO/AEO и трекер AI-видимости"
S007,"Александр Ознобишин","profile","TenChat","Профиль Александра Ознобишина","https://tenchat.ru/ozseoru","","2026-09-18","secondary","platform_profile","active","Личность подтверждена; текущая GEO-услуга отдельно не перепроверена"
S008,"Юрий Русинов","service_profile","Яндекс Услуги","Юрий Русинов — интернет-маркетолог","https://uslugi.yandex.ru/profile/YurijRusinov-306938","","2026-09-18","secondary","platform_profile","active","GEO-услуга, частный специалист; также упоминает ресурсы команды"
S009,"Сергей Язовский","official_site","GEO Оптимизация","Обо мне — Сергей Язовский","https://geouseo.ru/about.html","","2026-09-18","primary","owned","active","GEO основа позиционирования; эксперт связан с платформой GEO PRO"
S010,"Егор Федоров","official_site","fedorov.agency","Разработка и продвижение сайтов на Tilda · SEO · GEO","https://fedorov.agency/","","2026-09-18","primary","owned","active","Персональная практика, SEO/GEO, SoV-кейс Алисы AI"
S011,"Илья Ливенцев","official_site","context-target.ru","Специалист — Илья Ливенцев","https://context-target.ru/speczialist/","","2026-09-18","primary","owned","active","Персональный формат подтвержден; отдельная GEO-специализация раскрыта слабее"
S012,"Андрей Бакленев","official_site","ab404.ru","AI SEO и GEO-продвижение","https://ab404.ru/seo/prodvizhenie-v-ai-otvetah/","","2026-09-18","primary","owned","active","Частный специалист, отдельный GEO / AI Visibility спринт"
S013,"Александр Сергеев","official_site","Просто СЕО","Частный AEO/GEO-специалист","https://xn--e1arabbgibh.xn--p1ai/chastniy-aeo-geo-specialist-zakazat-prodvijenie-v-ai-neyrosetyah","","2026-09-18","primary","owned","active","Персональная GEO/AEO-услуга"
S014,"Алексей Яковлев","case","Workspace","GEO-продвижение эксперта: с нуля за 2 недели на 1 место в ChatGPT","https://workspace.ru/cases/geo-prodvizhenie-eksperta-v-otvetah-neyrosetey/","2026-06","2026-09-18","secondary","independent_platform","active","Предшествующий публичный кейс с ответом ChatGPT от 15.06.2026"
S015,"Алексей Яковлев","official_article","GAEO.ru","Продвижение личного бренда в нейросетях в 2026 году","https://gaeo.ru/articles/prodvizhenie-lichnogo-brenda-eksperta-v-neyrosetyah/","2026-08","2026-09-18","primary","owned","active","Динамика мониторинга по тому же интенту; отдельный серийный замер, не часть July snapshot"
